city,lat,lng
Tokyo,35.689487,139.691706
Yokohama,35.443708,139.638026
Osaka,34.693738,135.502165
Nagoya,35.181446,136.906398
Sapporo,43.062096,141.354376
Kobe,34.690083,135.195511
Kyoto,35.011636,135.768029
Fukuoka,33.590355,130.401716
Kawasaki,35.529820,139.702404
Saitama,35.856999,139.648849
Hiroshima,34.385203,132.455293
Yono,36.523334,140.030253
Sendai,38.268215,140.869356
Kitakyushu,33.883409,130.875216
Chiba,35.605057,140.123306
Sakai,34.573262,135.482998
Shizuoka,34.977120,138.383084
Kumamoto,32.803100,130.707891
Okayama,34.655146,133.919502
Hamamatsu,34.710834,137.726126
Hachiōji,35.666339,139.315806
Honchō,35.696395,139.680032
Kagoshima,31.596553,130.557116
Niigata,37.916192,139.036413
Himeji,34.815149,134.685353
Matsudo,35.787649,139.903093
Nishinomiya-hama,34.717390,135.337223
Kawaguchi,35.807738,139.724171
Kanazawa,36.561325,136.656205
Utsunomiya,36.555112,139.882807
Ōita,33.239558,131.609272
Matsuyama,33.839157,132.765575
Amagasaki,34.733734,135.406376
Kurashiki,34.585013,133.772084
Yokosuka,35.281341,139.672201
Nagasaki,32.750286,129.877667
Hirakata,34.814340,135.650658
Machida,35.546631,139.438619
Gifu-shi,35.423298,136.760654
Fujisawa,35.339170,139.490036
Toyonaka,34.781266,135.469739
Fukuyama,34.485899,133.362313
Toyohashi,34.769199,137.391466
Minato,35.658068,139.751599
Nara-shi,34.685087,135.805000
Toyota,35.082395,137.156249
Nagano,36.648583,138.194771
Iwaki,37.050419,140.887682
Asahikawa,43.770635,142.364819
Takatsuki,34.846159,135.617272
Okazaki,34.954379,137.174329
Suita,34.759453,135.516860
Wakayama,34.225987,135.167509
Kōriyama,37.400529,140.359742
Kashiwa,35.867612,139.975850
Tokorozawa,35.799672,139.468610
Kawagoe,35.925101,139.485793
Kochi,33.559706,133.531079
Takamatsu,34.342788,134.046574
Akitashi,39.719922,140.103570
Toyama,36.695952,137.213677
Akita,39.718613,140.102364
Koshigaya,35.891084,139.790938
Miyazaki,31.907674,131.420241
Naha,26.212312,127.679157
Kasugai,35.247611,136.972224
Aomori,40.822072,140.747365
Ōtsu,35.017893,135.854607
Akashi,34.643107,134.997179
Yokkaichi,34.965157,136.624485
Morioka,39.702053,141.154484
